item,pct,media,maximo,zero,label
Q1A,0.9536231884057971,0.9536231884057971,1.0,0.0,Q1A
Q1B,0.7753623188405797,0.38768115942028986,0.5,0.13043478260869565,Q1B
Q1C_maximin,0.8840579710144928,0.4420289855072464,0.5,0.10144927536231885,Q1C maximin
Q1C_minimax,0.8376811594202899,0.41884057971014493,0.5,0.14492753623188406,Q1C minimax
Q1C_pri,0.8768115942028986,0.4384057971014493,0.5,0.07246376811594203,Q1C PRI
Q1D,0.8079710144927537,0.8079710144927537,1.0,0.13043478260869565,Q1D
Q2A,0.6980676328502415,1.0471014492753623,1.5,0.21739130434782608,Q2A
Q2B,0.6594202898550725,0.32971014492753625,0.5,0.2753623188405797,Q2B
Q3A,0.5449275362318841,0.13623188405797101,0.25,0.37681159420289856,Q3A
Q3B,0.6637681159420289,0.16594202898550722,0.25,0.2753623188405797,Q3B
Q3C,0.7420289855072463,0.18550724637681157,0.25,0.2318840579710145,Q3C
Q3D,0.8695652173913043,0.21739130434782608,0.25,0.13043478260869565,Q3D
Q4A,0.5700483091787439,0.855072463768116,1.5,0.2028985507246377,Q4A
Q4B,0.5942028985507246,0.8913043478260869,1.5,0.2028985507246377,Q4B
Q5,0.37681159420289856,0.18840579710144928,0.5,0.6231884057971014,Q5
